step,tl_name,actions,phase,reward
25220,충대농대삼거리,0,6,0
25220,다솔APT삼거리,0,6,0
25220,유성구청네거리,0,7,0
25220,강변아파트삼거리,0,2,0
25220,보건환경연구원(단),0,4,0
25220,갑천네거리,0,3,0
25220,구성삼거리,0,2,0
25220,과기원삼거리,0,0,0
25220,카이스트교삼거리,0,1,0
25220,갑천(단),0,0,0
25221,미래부동산삼거리,0,0,0
25221,충대농대삼거리,0,6,0
25221,다솔APT삼거리,0,0,0
25221,유성구청네거리,0,7,0
25221,강변아파트삼거리,0,2,0
25221,보건환경연구원(단),0,4,0
25221,갑천네거리,0,3,0
25221,구성삼거리,0,2,0
25221,과기원삼거리,0,0,0
25221,카이스트교삼거리,0,1,0
25221,갑천(단),0,0,0
25222,미래부동산삼거리,0,0,0
25222,충대농대삼거리,0,6,0
25222,다솔APT삼거리,0,0,0
25222,유성구청네거리,0,7,0
25222,강변아파트삼거리,0,2,0
25222,보건환경연구원(단),0,4,0
25222,갑천네거리,0,3,0
25222,구성삼거리,0,2,0
25222,과기원삼거리,0,0,0
25222,카이스트교삼거리,0,1,0
25222,갑천(단),0,0,0
25223,미래부동산삼거리,0,0,0
25223,충대농대삼거리,0,6,0
25223,다솔APT삼거리,0,0,0
25223,유성구청네거리,0,7,0
25223,강변아파트삼거리,0,2,0
25223,보건환경연구원(단),0,4,0
25223,갑천네거리,0,3,0
25223,구성삼거리,0,2,0
25223,과기원삼거리,0,1,0
25223,카이스트교삼거리,0,1,0
25223,갑천(단),0,0,0
25224,미래부동산삼거리,0,0,0
25224,충대농대삼거리,0,6,0
25224,다솔APT삼거리,0,0,0
25224,유성구청네거리,0,7,0
25224,강변아파트삼거리,0,2,0
25224,보건환경연구원(단),0,4,0
25224,갑천네거리,0,3,0
25224,구성삼거리,0,2,0
25224,과기원삼거리,0,1,0
25224,카이스트교삼거리,0,1,0
25224,갑천(단),0,0,0
25225,미래부동산삼거리,0,0,0
25225,충대농대삼거리,0,6,0
25225,다솔APT삼거리,0,0,0
25225,유성구청네거리,0,7,0
25225,강변아파트삼거리,0,2,0
25225,보건환경연구원(단),0,4,0
25225,갑천네거리,0,3,0
25225,구성삼거리,0,2,0
25225,과기원삼거리,0,1,0
25225,카이스트교삼거리,0,1,0
25225,갑천(단),0,0,0
25226,미래부동산삼거리,0,0,0
25226,충대농대삼거리,0,6,0
25226,다솔APT삼거리,0,0,0
25226,유성구청네거리,0,7,0
25226,강변아파트삼거리,0,2,0
25226,보건환경연구원(단),0,4,0
25226,갑천네거리,0,3,0
25226,구성삼거리,0,2,0
25226,과기원삼거리,0,2,0
25226,카이스트교삼거리,0,1,0
25226,갑천(단),0,0,0
25227,미래부동산삼거리,0,0,0
25227,충대농대삼거리,0,6,0
25227,다솔APT삼거리,0,0,0
25227,유성구청네거리,0,7,0
25227,강변아파트삼거리,0,2,0
25227,보건환경연구원(단),0,4,0
25227,갑천네거리,0,3,0
25227,구성삼거리,0,2,0
25227,과기원삼거리,0,2,0
25227,카이스트교삼거리,0,1,0
25227,갑천(단),0,0,0
25228,미래부동산삼거리,0,0,0
25228,충대농대삼거리,0,6,0
25228,다솔APT삼거리,0,0,0
25228,유성구청네거리,0,7,0
25228,강변아파트삼거리,0,2,0
25228,보건환경연구원(단),0,4,0
25228,갑천네거리,0,3,0
25228,구성삼거리,0,2,0
25228,과기원삼거리,0,2,0
25228,카이스트교삼거리,0,1,0
25228,갑천(단),0,0,0
25229,미래부동산삼거리,0,0,0
25229,충대농대삼거리,0,6,0
25229,다솔APT삼거리,0,0,0
25229,유성구청네거리,0,7,0
25229,강변아파트삼거리,0,2,0
25229,보건환경연구원(단),0,4,0
25229,갑천네거리,0,3,0
25229,구성삼거리,0,2,0
25229,과기원삼거리,0,2,0
25229,카이스트교삼거리,0,1,0
